Weight	Nested	Procedure	CueText	StimID	Question	Opt1	Opt2	Opt3	Opt4	CorrectKey	ImageFile
1		PracticeProc	video game	2367132	How many men are playing in the scene?	four	two	one	three	2	.\stimuli\2367132.jpg
1		PracticeProc	video game	2367132	In which hand(s) are the men holding the controllers?	in right hand	in left hand	neither hand (on wrists)	in both hands	4	.\stimuli\2367132.jpg
1		PracticeProc	chef	2369373	What is the appearance of the oven?	stone arch	brick dome	open mouth	metal box	3	.\stimuli\2369373.jpg
1		PracticeProc	chef	2369373	What is the chef placing into the oven?	bread	steak	pizza	vegetable tray	3	.\stimuli\2369373.jpg
1		PracticeProc	donuts	2370664	How many donuts are in the scene?	two	four	five	three	4	.\stimuli\2370664.jpg
1		PracticeProc	donuts	2370664	Where are the people located in the scene?	street	kitchen	living room	restaurant	1	.\stimuli\2370664.jpg
1		PracticeProc	motorcycle	2371471	Which of the motorcyclists is performing a handstand?	neither	one up front	both	one at the back	2	.\stimuli\2371471.jpg
1		PracticeProc	motorcycle	2371471	What is nearest to the motorcyclists?	concrete ramp	grassy ground	dirt ramp	asphalt road	3	.\stimuli\2371471.jpg
1		PracticeProc	spray-vehicle	2374670	What vehicle sprays water in the scene?	red truck	grey van	grey tractor	red tractor	1	.\stimuli\2374670.jpg
1		PracticeProc	spray-vehicle	2374670	What is the truck spraying?	asphalt	fertilizer	water	sand	3	.\stimuli\2374670.jpg
1		PracticeProc	baby-milk	2379478	What is the position of the babies?	lying on couch	sitting on bed	lying in crib	lying on bed	4	.\stimuli\2379478.jpg
1		PracticeProc	baby-milk	2379478	In what position are the babies drinking milk?	lying on side	lying on back	lying on stomach	sitting up	2	.\stimuli\2379478.jpg
1		PracticeProc	boat	2383555	Who is holding the child in the boat?	man	woman	girl	boy	2	.\stimuli\2383555.jpg
1		PracticeProc	boat	2383555	What is the woman at the back doing in the boat?	standing	waving	sitting	rowing	4	.\stimuli\2383555.jpg
1		PracticeProc	tangerines	2385550	Where are the tangerines in the scene?	in hands	in front of eyes	on head	in mouths	4	.\stimuli\2385550.jpg
1		PracticeProc	tangerines	2385550	Which side of the frame is the boy on?	in the back	in the front	on the left	on the right	3	.\stimuli\2385550.jpg
1		PracticeProc	teeth	2386442	Who is brushing their teeth in the scene?	man, woman, and child	child and two women	man	woman and child	1	.\stimuli\2386442.jpg
1		PracticeProc	teeth	2386442	Where is the child in the scene?	behind parents	on the left	on the right	in the middle	4	.\stimuli\2386442.jpg
1		PracticeProc	polar bear	2387122	Where is the polar bear located in the scene?	on rocks	on ice	in water	on grass	3	.\stimuli\2387122.jpg
1		PracticeProc	polar bear	2387122	What is the polar bear doing next to the enclosure edge?	pressing on glass enclosure	swimming away from glass enclosure	diving underwater	sitting on snowy ground	1	.\stimuli\2387122.jpg
1		PracticeProc	cake	2397102	What are the couple doing with the cake?	cutting it	feeding each other	posing next to it	serving it	1	.\stimuli\2397102.jpg
1		PracticeProc	cake	2397102	What is the man holding besides the cake knife?	paper plate	wedding gift	beer bottle	wine glass	3	.\stimuli\2397102.jpg
1		PracticeProc	apple	2411268	What is the child holding while picking fruit?	brown basket	red bag	brown box	white bucket	2	.\stimuli\2411268.jpg
1		PracticeProc	apple	2411268	Where is the fruit branch relative to the child?	below head	near ground	at head height	above head	4	.\stimuli\2411268.jpg
1		PracticeProc	dog	2412687	What is the dog biting onto in the scene?	red ball	red boomerang	red bone	red frisbee	4	.\stimuli\2412687.jpg
1		PracticeProc	dog	2412687	What is the main action of the human in the scene?	picking up frisbee	catching frisbee	offering frisbee	throwing frisbee	3	.\stimuli\2412687.jpg
1		PracticeProc	baseball	2356991	How is the player on the left reaching the base?	sliding headfirst	running towards it	sliding feetfirst	sliding on knees	1	.\stimuli\2356991.jpg
1		PracticeProc	baseball	2356991	What is the current action of the gloved player on the base?	caught the ball already	is catching the ball	is throwing the ball	is dropping the ball	2	.\stimuli\2356991.jpg
1		PracticeProc	suitcase	2385851	What are the men doing with the suitcases?	stacking them	carrying them	pulling them	opening them	2	.\stimuli\2385851.jpg
1		PracticeProc	suitcase	2385851	Where are the men?	walking along a train platform	walking into a hotel lobby	walking under a covered walkway	walking in an airport terminal	3	.\stimuli\2385851.jpg
1		PracticeProc	horse ride	2394020	Where is the scene taking place?	along beach	along ocean	along open field	along stream	1	.\stimuli\2394020.jpg
1		PracticeProc	horse ride	2394020	What are the riders wearing on their heads?	sun hats	cowboy hats	baseball caps	helmets	2	.\stimuli\2394020.jpg
1		PracticeProc	surfboard	2408717	How many surfers are in the scene?	five	four	three	two	2	.\stimuli\2408717.jpg
1		PracticeProc	surfboard	2408717	What are the colors of the surfboards in the scene?	red and green	black and yellow	white and yellow	white and red	3	.\stimuli\2408717.jpg
1		PracticeProc	elephant	2409918	What is the elephant on the right doing with its trunk?	spraying water	eating plants	grabbing log	reaching forward	2	.\stimuli\2409918.jpg
1		PracticeProc	elephant	2409918	Where are the elephants in the scene?	walking on land	splashing in puddle	standing in mud	swimming in water	4	.\stimuli\2409918.jpg
1		PracticeProc	laptop	2410309	How many laptops or electronic devices are visible?	four	three	one	two	4	.\stimuli\2410309.jpg
1		PracticeProc	laptop	2410309	What is the baby touching?	screen	keyboard	bottle	mouse	2	.\stimuli\2410309.jpg
