SubjectID,StimID,Phase,svg_z,svg_obs,svg_null_mean,svg_null_std,n_transitions,n_relational,low_n,mean_salience_relational,mean_salience_nonrelational,n_relational_fixations,n_nonrelational_fixations,n_fixations,n_aoi,aoi_prop,mean_salience,mean_meaning,enc_q1_accuracy,enc_q1_rt_ms,enc_q1_response,enc_q1_correct_key,enc_q1_question,enc_q2_accuracy,enc_q2_rt_ms,enc_q2_response,enc_q2_correct_key,enc_q2_question,enc_trial_index,enc_total_correct,dec_free_response,dec_rt_ms,dec_trial_index,dec_cue_question
Encode-Decode_Experiment-24-1,2356991,encoding,1.233968,0.230769,0.133423,0.078889,26,6,False,0.156921,0.115207,12,24,39,36,0.9231,0.129464,0.735924,1.0,5213.0,2.0,2.0,What is the current action of the gloved player on the base?,1.0,4583.0,1.0,1.0,How is the player on the left (from your perspective) reaching the base?,13.0,2.0,,,,
Encode-Decode_Experiment-24-1,2347025,encoding,-1.014993,0.6875,0.8045,0.115272,16,11,False,0.10201,0.073565,30,6,37,36,0.973,0.104948,0.848632,1.0,2963.0,2.0,2.0,Who is holding the umbrella in the scene?,1.0,3205.0,1.0,1.0,Where is the baby in relation to the mother?,14.0,2.0,,,,
Encode-Decode_Experiment-24-1,2347400,encoding,1.182067,0.28,0.18028,0.084361,25,7,False,0.136214,0.236288,14,23,42,37,0.881,0.202054,0.805375,1.0,1893.0,1.0,1.0,What are the men sitting on in the scene?,1.0,2000.0,3.0,3.0,What are the men doing with the wine?,15.0,2.0,,,,
Encode-Decode_Experiment-24-1,2356125,encoding,-0.490999,0.147059,0.181382,0.069905,34,5,False,0.268699,0.235524,11,30,43,41,0.9535,0.247085,0.800562,1.0,6416.0,2.0,2.0,How many uniformed staff are moving the luggage?,0.0,5337.0,3.0,1.0,Where is the luggage being moved to?,16.0,1.0,,,,
Encode-Decode_Experiment-24-1,2349475,encoding,3.85262,0.428571,0.131571,0.07709,21,9,False,0.0833,0.087275,23,11,40,34,0.85,0.094044,0.680148,0.0,3040.0,2.0,1.0,What is the man doing to power the blender?,1.0,3607.0,3.0,3.0,Which part of the blender is the woman holding?,17.0,1.0,,,,
Encode-Decode_Experiment-24-1,2362704,encoding,1.101441,0.24,0.1486,0.082982,25,6,False,0.248014,0.197732,13,18,31,31,1.0,0.218818,0.804536,1.0,1966.0,4.0,4.0,What are the bears doing with the pumpkins?,1.0,2733.0,2.0,2.0,How many bears are in the scene?,18.0,2.0,,,,
Encode-Decode_Experiment-24-1,2408717,encoding,-0.028409,0.24,0.24272,0.095744,25,6,False,0.244436,0.319044,13,18,37,31,0.8378,0.270699,0.801868,1.0,2159.0,2.0,2.0,How many surfers are in the scene?,1.0,2681.0,3.0,3.0,What are the surfers doing with the surfboards?,19.0,2.0,,,,
Encode-Decode_Experiment-24-1,2412687,encoding,1.486754,0.578947,0.382263,0.132291,19,11,False,0.101618,0.210712,19,11,39,30,0.7692,0.129612,0.485375,1.0,2363.0,3.0,3.0,What is the human's body position?,1.0,2120.0,4.0,4.0,What is the dog biting onto in the scene?,22.0,2.0,,,,
Encode-Decode_Experiment-24-1,2367132,encoding,3.205456,0.619048,0.239238,0.118488,21,13,False,0.078272,0.123773,25,5,30,30,1.0,0.085856,0.857551,1.0,2876.0,4.0,4.0,In which hand(s) are the men holding the controllers?,1.0,1293.0,2.0,2.0,How many men are playing in the scene?,23.0,2.0,,,,
Encode-Decode_Experiment-24-1,2387122,encoding,1.788519,0.47619,0.279762,0.109827,21,10,False,0.08307,0.086143,21,11,37,32,0.8649,0.087691,0.740003,1.0,2369.0,1.0,1.0,What is the polar bear doing next to the enclosure edge?,1.0,2264.0,3.0,3.0,Where is the polar bear located in the scene?,24.0,2.0,,,,
Encode-Decode_Experiment-24-1,2410309,encoding,0.89043,0.258065,0.183871,0.083323,31,8,False,0.305118,0.255456,18,25,43,43,1.0,0.276245,0.719525,1.0,3444.0,2.0,2.0,What is the baby touching?,1.0,1968.0,4.0,4.0,How many laptops or electronic devices are visible?,26.0,2.0,,,,
Encode-Decode_Experiment-24-1,2411268,encoding,3.748538,0.75,0.336292,0.110365,24,18,False,0.200869,,38,0,44,38,0.8636,0.197949,0.834707,1.0,4593.0,2.0,2.0,What is the child holding while picking fruit?,1.0,2821.0,4.0,4.0,Where is the fruit branch relative to the child?,27.0,2.0,,,,
Encode-Decode_Experiment-24-1,2371471,encoding,0.852646,0.52381,0.420048,0.121694,21,11,False,0.402389,0.406413,19,7,26,26,1.0,0.403473,0.799178,1.0,2689.0,3.0,3.0,What is nearest to the motorcyclists?,1.0,6230.0,2.0,2.0,What stunt is one motorcyclist performing?,28.0,2.0,,,,
Encode-Decode_Experiment-24-1,2369373,encoding,-0.929572,0.142857,0.277357,0.14469,14,2,False,0.378734,0.220083,4,18,22,22,1.0,0.248929,0.798555,1.0,3966.0,3.0,3.0,What tool is the chef using?,1.0,2798.0,3.0,3.0,What is the appearance of the oven?,30.0,2.0,,,,
Encode-Decode_Experiment-24-1,2350974,encoding,1.974121,0.590909,0.362636,0.115633,22,13,False,0.320643,0.304503,28,4,38,32,0.8421,0.30303,0.817807,1.0,1823.0,1.0,1.0,What is the child up against?,1.0,2917.0,4.0,4.0,Between which two objects is the child standing?,35.0,2.0,,,,
Encode-Decode_Experiment-24-1,2394020,encoding,2.210122,0.678571,0.444536,0.105893,28,19,False,0.287242,0.382515,29,3,43,32,0.7442,0.312034,0.783571,1.0,3518.0,1.0,1.0,Where is the scene taking place?,1.0,1843.0,2.0,2.0,What are the riders wearing on their heads?,39.0,2.0,,,,
Encode-Decode_Experiment-24-1,2409918,encoding,1.231637,0.421053,0.279211,0.115165,19,8,False,0.12847,0.066343,24,10,36,34,0.9444,0.120002,0.656,1.0,2679.0,4.0,4.0,Where are the elephants in the scene?,1.0,5972.0,2.0,2.0,What is the elephant on the right (from your perspective) doing with its trunk?,47.0,2.0,,,,
Encode-Decode_Experiment-24-1,2345035,encoding,0.063494,0.363636,0.356909,0.105951,33,12,False,0.201223,0.270715,18,19,45,37,0.8222,0.227428,0.791981,0.0,3980.0,4.0,3.0,What are the people doing with the football?,1.0,1732.0,2.0,2.0,Who runs toward the football in the scene?,51.0,1.0,,,,
Encode-Decode_Experiment-24-1,2348899,encoding,2.174144,0.73913,0.482217,0.118167,23,17,False,0.218477,0.135735,38,1,42,39,0.9286,0.216922,0.871306,1.0,2552.0,4.0,4.0,What is the woman doing?,1.0,4042.0,1.0,1.0,Where is the woman located relative to the man? (from your perspective),53.0,2.0,,,,
Encode-Decode_Experiment-24-1,150472,encoding,-0.031396,0.294118,0.298294,0.133024,17,5,False,0.125349,0.120368,11,15,26,26,1.0,0.122475,0.58479,1.0,1672.0,4.0,4.0,How many women are in the scene?,1.0,4863.0,2.0,2.0,Where is the pizza slice located?,56.0,2.0,,,,
Encode-Decode_Experiment-24-1,2408717,decoding,-1.826618,0.285714,0.666143,0.208269,7,2,False,0.044637,0.055916,8,8,16,16,1.0,0.050277,0.469783,,,,,,,,,,,,,"four surfers, the 2 closest to the camera with green boards and the ones further away with white boards, the person third from the right had a white t shirt and i think the others wore purple, they were on the beach walking towards the water carrying their boards and it was late afternoon/evening",77200.0,1.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2371471,decoding,,1.0,1.0,0.0,4,4,False,0.075117,,7,0,7,7,1.0,0.075117,0.663039,,,,,,,,,,,,,"2 bikers, the one behind was still on his bike and perchance wearing red, the other one was doing a handstand on his bike, they were both in the air above a dirt ramp that was on the right of the screen",27963.0,2.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2385851,decoding,1.007367,0.666667,0.355333,0.309057,3,2,False,0.203601,0.153052,7,1,8,8,1.0,0.197283,0.949604,,,,,,,,,,,,,"2 men were carrying red suitcases on a covered walkway, they were walking away from the camera, the man on the right had a grey rope thing tied around his suitcase. they were both wearing loose fitting trousers",42582.0,3.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2349475,decoding,,0.0,0.0,0.0,6,0,False,,0.065458,0,10,10,10,1.0,0.065458,0.669143,,,,,,,,,,,,,two women were making an orange coloured smoothie in a blender. the one on the right may have been wearing teal and she had her mouth open and was pedaling and holding onto one handlebar of the bike that was attached to the blender. the other woman was holding the lid. they were in someones garden,49719.0,4.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2360001,decoding,0.618936,0.2,0.141933,0.093817,15,3,False,0.237544,0.23755,6,12,18,18,1.0,0.237548,0.325368,,,,,,,,,,,,,a black and white photo of around 4 men hoisting up a black clock in an old city with shops behind/next to them,24833.0,5.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2397102,decoding,0.0,0.666667,0.666667,0.30074,3,2,False,0.06505,0.067125,6,9,15,15,1.0,0.066295,0.424307,,,,,,,,,,,,,"a couple cutting a cake. the woman on the left had a magenta dress. the man had a beer in his left hand (from his perspective). the cake was white and had colourful writing on it in green, red, blue and yellow. there was another man in the background behind the guy with the beer and he had a can of what looked like redbull. the woman had light brown hair and the man had normal brown hair",75425.0,6.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2385550,decoding,-1.132613,0.0,0.202,0.178349,7,0,False,,0.345685,0,13,15,13,0.8667,0.318789,0.762875,,,,,,,,,,,,,two kids had tangerine slices in hteir mouths. the boy on the left was a bit younger and had blond hair. the girl on the right had brown hair and a short fringe and i think green eyes.,38153.0,7.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2347400,decoding,,0.0,0.0,0.0,1,0,True,,0.058254,0,8,8,8,1.0,0.058254,0.516494,,,,,,,,,,,,,two men in a living room on a beige couch with dark pillows in the background. there was a tv on the left and it had toad from mario kart on the lower shelf. the men were both sniffing their wine.,69756.0,8.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2367132,decoding,,1.0,1.0,0.0,4,4,False,0.08252,,8,0,8,8,1.0,0.08252,0.642911,,,,,,,,,,,,,two men were playing the wii and they each had awii remote in one had and a nunchuck in the other. there was a little blonde girl in the background wearing pink watching htem,27375.0,9.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2383555,decoding,1.265562,0.888889,0.657,0.18323,9,8,False,0.214093,0.172024,12,2,14,14,1.0,0.208083,0.874699,,,,,,,,,,,,,a bunch of people on a raft. noone was wearing shoes. the girl in the back of the raft had a paddle. the woman in the front was holding a young boy. there was antoehr person behind her but i couldnt see them,35392.0,11.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2374670,decoding,,1.0,1.0,0.0,1,1,True,0.190154,,6,0,6,6,1.0,0.190154,0.873228,,,,,,,,,,,,,a big red truck was being sprayed with water. there was a man on the back left of the truck. there was a green hose in the back middle of the truck. the man had some kind of hose thing but it looking like it was made of metal because it was very straight and water appeared to be coming out of it. it was on the back left as well,48810.0,12.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2412687,decoding,0.009815,0.666667,0.663667,0.305672,3,2,False,0.074698,0.104873,4,2,6,6,1.0,0.084756,0.388333,,,,,,,,,,,,,a man and a dog were out at night. the dog was brown and trying to catch a red frisbee. it was to the left of the man. the man was just standing upright and may have been wearing a light blue shirt but i dont remember,37322.0,13.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2410309,decoding,1.077776,1.0,0.675,0.301547,3,3,False,0.127056,,7,0,7,7,1.0,0.127056,0.581277,,,,,,,,,,,,,a mother and a baby were on a brown couch. the mum was on the left and she had her grey laptop in her lap. the baby was on her right and the baby's back was turned to the mum and it was touching the keyboard of a laptop in front of it.,49543.0,14.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2350974,decoding,1.190382,0.6,0.3088,0.244627,5,3,False,0.167268,0.181027,4,2,6,6,1.0,0.171854,0.559797,,,,,,,,,,,,,i dont remember this,20980.0,15.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2387122,decoding,,,,,0,0,True,,0.136822,0,4,4,4,1.0,0.136822,0.873528,,,,,,,,,,,,,a polar bear was in a pool and it had swum up to the side of the pool. its paw was pressed against the glass and it appeared to have its mouth around the black edge of the pool. there was a woman with a camera to the left of the polar bear and she had short blonde hair and was kind of making a pouting face at the bear,53565.0,16.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2409918,decoding,0.211585,0.375,0.334375,0.192003,8,3,False,0.082511,0.190915,8,7,15,15,1.0,0.1331,0.582963,,,,,,,,,,,,,there were two elephants submerged in water and men on their backs. the one on the left was deeper in the water. the one on the right was eating a plant.,23105.0,17.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2394020,decoding,-0.446558,0.5,0.6675,0.375092,2,1,False,0.211846,0.361367,6,1,7,7,1.0,0.233206,0.964821,,,,,,,,,,,,,two men were riding horses. they wore cowboy hats. they were walking along a beach at sunset but the beach had grass on the sand or something so it didnt look like a beach to me at first glance. but there was a lot of water behind them. they are walking from right to left. the horse in front was more white than brown and the horse in the back was more brown than white. they both had cow patterns,60542.0,18.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2369373,decoding,,1.0,1.0,0.0,3,3,False,0.067556,,11,0,11,11,1.0,0.067556,0.605748,,,,,,,,,,,,,a chef was using a pizza paddle to cook a pizza in an oven that looked like a big open mouth. there was a lot of flames surrounding the pizza. the oven was grehy,24011.0,19.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2348899,decoding,,1.0,1.0,0.0,1,1,True,0.13067,,2,0,2,2,1.0,0.13067,0.942874,,,,,,,,,,,,,a woman was touching a pink and white stripey untied tie around a mans neck. she was on the furthest right and he was to the left of her. there were two men to the left of him and they were looking at the guy with the tie and he was looking at them and everyone was smiling or laughing,72395.0,20.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2386442,decoding,-0.592304,0.2,0.3372,0.231638,5,1,False,0.132716,0.06198,2,9,11,11,1.0,0.074842,0.804918,,,,,,,,,,,,,"there were three people brushing their teeth. a mum on the left, a little boy around 2 in the middle, and a ad on the right. the dad was wearing a purple shirt. they all had brown eyes and dark hair and were looking at the camera. i think the bab?UNKNOWN?ys toothbrush was green",36886.0,21.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2347025,decoding,,1.0,1.0,0.0,3,3,False,0.153906,,10,0,10,10,1.0,0.153906,0.743649,,,,,,,,,,,,,a mother had her baby on her back and the baby was carrying a big pink umbrella with a pattern on it that had a lot of yellow in it. the baby was reaching with its other hand and the mother had her mouth open and had crooked teeth. the baby also ahd its mouth open a bit,54298.0,22.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2356125,decoding,,,,,0,0,True,,0.104143,0,5,5,5,1.0,0.104143,0.488927,,,,,,,,,,,,,"there were three pieces of luggage. i think one was blue and erd checkered and it was the one in the middle. there were 4 people in uniform, a lady on the furthest left, then a man to her right. there were two women on either side of the conveyor belt on getting luggage down to the main conveyor belt. the luggage they were touching had a lot of yellow in it. i think the last piece of luggage was blue",77056.0,23.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2345035,decoding,,,,,0,0,True,,0.105797,0,5,5,5,1.0,0.105797,0.697863,,,,,,,,,,,,,there were two girls chasing a ball. they were very close to each other but the one on the lefthad the number 20 and the one on the right ahd the nmber 3 on her jersey. the jerseys were white and red but i dont remember who had who. the girl on the left was shorter and i think had her hair in a ponytail,69518.0,24.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2379478,decoding,0.768272,0.333333,0.193667,0.181793,6,2,False,0.604628,0.48719,4,5,9,9,1.0,0.539384,0.799929,,,,,,,,,,,,,a black adn white photo of two babies in a bed drinking milk from bottles. they werent lying super close to each other,20139.0,25.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2356991,decoding,,,,,0,0,True,,0.024048,0,4,4,4,1.0,0.024048,0.6089,,,,,,,,,,,,,there was a guy on the right with a brown glove on his left hand. a baseball was coming towards him and he was about to catch it. the guy on the left may have been waering red and he was sliding across the ground headfirst,39263.0,26.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2344622,decoding,,1.0,1.0,0.0,2,2,False,0.078505,,4,0,4,4,1.0,0.078505,0.574612,,,,,,,,,,,,,i dont remember,16318.0,27.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,150472,decoding,,0.0,0.0,0.0,6,0,False,,0.148327,0,11,11,11,1.0,0.148327,0.59746,,,,,,,,,,,,,two girls had a big pizza slice on a paper plate. they were both opening their mouths pretending to take a bite. the pizza already had 2 bites taken out of it.,27395.0,28.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2362704,decoding,,0.0,0.0,0.0,1,0,True,,0.134082,0,8,8,8,1.0,0.134082,0.78537,,,,,,,,,,,,,two brown bears were eating pumpkins in some kind of enclosure,10149.0,29.0,Which description best matches the image?
Encode-Decode_Experiment-24-1,2411268,decoding,,1.0,1.0,0.0,1,1,True,0.080725,,5,0,5,5,1.0,0.080725,0.561891,,,,,,,,,,,,,a little girl was reaching up picking green apples form a tree. she had a red bag with white writing in her left hand (from her pov). i think she was wearing a hat.,38264.0,30.0,Which description best matches the image?
