Weight	Nested	Procedure	CueText	StimID	Question	Opt1	Opt2	Opt3	Opt4	CorrectKey	ImageFile
1		ExploratoryProc	petting	2363971	Which description best matches the image?	woman pets dog indoors	woman hugs the dog indoors	woman feeds the dog indoors	woman brushes the dog indoors	1	.\stimuli\2363971.jpg
1		ExploratoryProc	surfer	2366915	Which description best matches the image?	two surfers paddle toward wave	two surfers ride a wave	two surfers walk toward wave	one surfer rides a wave	2	.\stimuli\2366915.jpg
1		ExploratoryProc	video game	2367132	Which description best matches the image?	sitting with video game controllers	leaning against a wall with video game controllers	standing with video game controllers	kneeling with video game controllers	3	.\stimuli\2367132.jpg
1		ExploratoryProc	chef	2369373	Which description best matches the image?	chef pulls tray from oven	chef loads pizza into oven	chef stokes oven flames	chef loads bread into oven	2	.\stimuli\2369373.jpg
1		ExploratoryProc	donuts	2370664	Which description best matches the image?	people bite into donuts	people hold up donuts	people stack the donuts	people pass around the donuts	1	.\stimuli\2370664.jpg
1		ExploratoryProc	motorcycle	2371471	Which description best matches the image?	motorcyclists drive on dirt track	motorcyclists pop a wheelie	motorcyclists jump over ramp	motorcyclists speed across road	3	.\stimuli\2371471.jpg
1		ExploratoryProc	vehicle	2374670	Which description best matches the image?	man holds onto back of spraying truck	man stands in front of spraying truck	man drives the spraying truck	man walks beside the spraying truck	1	.\stimuli\2374670.jpg
1		ExploratoryProc	milk	2379478	Which description best matches the image?	one baby reaches for milk bottle	two babies drink from milk bottles	two babies reach for one milk bottle	one baby drinks from a milk bottle	2	.\stimuli\2379478.jpg
1		ExploratoryProc	boat	2383555	Which description best matches the image?	child sits alone in boat	man steps onto a boat	woman holds child on boat	two women row a boat	3	.\stimuli\2383555.jpg
1		ExploratoryProc	tangerines	2385550	Which description best matches the image?	children hold tangerines to their eyes	children balance tangerines on heads	children hide tangerines in their palms	children have tangerines in mouths	4	.\stimuli\2385550.jpg
1		ExploratoryProc	teeth	2386442	Which description best matches the image?	man woman and child brush their teeth	woman brushes the child's teeth	man brushes the child's teeth	man and woman brush their teeth	1	.\stimuli\2386442.jpg
1		ExploratoryProc	polar bear	2387122	Which description best matches the image?	polar bear swims away from glass	polar bear presses on glass	polar bear dives underwater	polar bear sits on snowy ground	2	.\stimuli\2387122.jpg
1		ExploratoryProc	cake	2397102	Which description best matches the image?	couple poses with wedding cake	couple feeds each other cake	couple cuts cake together	couple kisses beside cake	3	.\stimuli\2397102.jpg
1		ExploratoryProc	baby	2401636	Which description best matches the image?	the cat is on the baby's lap	the cat is sitting beside the baby	the cat is walking away from the baby	the cat is sleeping behind the baby	2	.\stimuli\2401636.jpg
1		ExploratoryProc	apple	2411268	Which description best matches the image?	child picks apple up from the ground	child bites into apple	child puts apple into bag	child picks apple from tree	4	.\stimuli\2411268.jpg
1		ExploratoryProc	dog	2412687	Which description best matches the image?	man throws frisbee towards dog	dog catches frisbee midair	dog bites onto frisbee	dog ignores offered frisbee	3	.\stimuli\2412687.jpg
1		ExploratoryProc	baseball	2356991	Which description best matches the image?	player runs towards base	player slides headfirst to base	player slides feetfirst toward base	gloved player holds a ball	2	.\stimuli\2356991.jpg
1		ExploratoryProc	suitcase	2385851	Which description best matches the image?	men carry suitcases on shoulders	men carry suitcases in hands	men pull suitcases on wheels	men lift suitcases into a trunk	1	.\stimuli\2385851.jpg
1		ExploratoryProc	horse ride	2394020	Which description best matches the image?	horses ride side-by-side on beach	horses follow one another into water	horses face each other on beach	horses walk away from the beach	1	.\stimuli\2394020.jpg
1		ExploratoryProc	circus	2406346	Which description best matches the image?	elephants walk in line	elephants stand in a circle	elephants face their handler	elephants raise their trunks	1	.\stimuli\2406346.jpg
1		ExploratoryProc	surfboard	2408717	Which description best matches the image?	surfers run toward the water	surfers sit by the water	surfers turn away from the water	surfers walk toward water	4	.\stimuli\2408717.jpg
1		ExploratoryProc	elephant	2409918	Which description best matches the image?	elephants swim in water	elephants walk across savannah	elephants drink water	elephants splash riders	1	.\stimuli\2409918.jpg
1		ExploratoryProc	laptop	2410309	Which description best matches the image?	man types on laptop keyboard	woman and baby use laptops	baby touches laptop mouse	woman closes laptop lid	2	.\stimuli\2410309.jpg
