Weight	Nested	Procedure	CueText	StimID	Question	Opt1	Opt2	Opt3	Opt4	CorrectKey	ImageFile
1		PracticeProc	boat	2383555	What is the woman at the back doing in the boat?	waving	rowing	sitting	standing	2	.\stimuli\2383555.jpg
1		PracticeProc	tangerines	2385550	Where are the tangerines in the scene?	in front of eyes	in hands	on head	in mouths	4	.\stimuli\2385550.jpg
1		PracticeProc	tangerines	2385550	Which side of the frame is the boy on?	on the left	in the front	on the right	in the back	1	.\stimuli\2385550.jpg
1		PracticeProc	teeth	2386442	Who is brushing their teeth in the scene?	child and two women	man	woman and child	man, woman, and child	4	.\stimuli\2386442.jpg
1		PracticeProc	teeth	2386442	Which position is the child in?	on the right	in the middle	at the back	on the left	2	.\stimuli\2386442.jpg
1		PracticeProc	polar bear	2387122	Where is the polar bear located in the scene?	on sand	on rocks	on ice	in water	4	.\stimuli\2387122.jpg
1		PracticeProc	polar bear	2387122	What is the polar bear doing next to the enclosure edge?	diving underwater	swimming away from glass enclosure	pressing on glass enclosure	sitting on snowy ground	3	.\stimuli\2387122.jpg
1		PracticeProc	cake	2397102	What are the couple doing with the cake?	serving it	cutting it	posing next to it	feeding each other	2	.\stimuli\2397102.jpg
1		PracticeProc	cake	2397102	What is the man holding besides the cake knife?	beer bottle	present	wine glass	paper plate	1	.\stimuli\2397102.jpg
1		PracticeProc	baby	2401636	Who is looking at the cat in the scene?	baby	girl	woman	man	1	.\stimuli\2401636.jpg
1		PracticeProc	baby	2401636	What is the mom holding in her arms?	dog and cat	baby and dog	baby and cat	baby	3	.\stimuli\2401636.jpg
1		PracticeProc	apple	2411268	What is the child holding while picking fruit?	basket	bucket	bag	box	3	.\stimuli\2411268.jpg
1		PracticeProc	apple	2411268	Where is the fruit branch relative to the child?	near ground	above head	below head	at head level	2	.\stimuli\2411268.jpg
1		PracticeProc	dog	2412687	What is the dog biting onto in the scene?	red bone	red frisbee	red boomerang	red ball	2	.\stimuli\2412687.jpg
1		PracticeProc	dog	2412687	What is the main action of the human in the scene?	picking up frisbee	catching frisbee	holding frisbee	throwing frisbee	3	.\stimuli\2412687.jpg
1		PracticeProc	baseball	2356991	How is the player on the left reaching the base?	running towards it	sliding on knees	sliding feetfirst	sliding headfirst	4	.\stimuli\2356991.jpg
1		PracticeProc	baseball	2356991	What is the current action of the gloved player on the base?	catching the ball	tagging the runner	throwing the ball	dropping the ball	1	.\stimuli\2356991.jpg
1		PracticeProc	suitcase	2385851	What are the men doing with the suitcases?	pulling them	stacking them	opening them	carrying them	4	.\stimuli\2385851.jpg
1		PracticeProc	suitcase	2385851	Where are the men?	walking in an airport terminal	walking under a covered walkway	walking into a hotel lobby	walking along a train platform	2	.\stimuli\2385851.jpg
1		PracticeProc	horse ride	2394020	Where is the scene taking place?	along beach	along open field	along ocean	along stream	1	.\stimuli\2394020.jpg
1		PracticeProc	horse ride	2394020	What are the riders wearing on their heads?	sun hats	helmets	baseball caps	cowboy hats	4	.\stimuli\2394020.jpg
1		PracticeProc	circus	2406346	Which elephant is the man/handler closest to?	both elephants	back elephant	front elephant	neither elephant	2	.\stimuli\2406346.jpg
1		PracticeProc	circus	2406346	What is one elephant doing to the other?	spraying it with water	touching its trunks	nothing; trunk is raised	holding its tail	4	.\stimuli\2406346.jpg
1		PracticeProc	surfboard	2408717	How many surfers are in the scene?	two	three	four	five	3	.\stimuli\2408717.jpg
1		PracticeProc	surfboard	2408717	What are the colors of the surfboards in the scene?	blue and yellow	white and yellow	red and green	white and red	2	.\stimuli\2408717.jpg
1		PracticeProc	elephant	2409918	What is the elephant on the right doing with its trunk?	grabbing log	reaching forward	spraying water	eating plants	4	.\stimuli\2409918.jpg
1		PracticeProc	elephant	2409918	Where are the elephants in the scene?	walking on land	swimming in water	splashing in puddle	standing in mud	2	.\stimuli\2409918.jpg
1		PracticeProc	laptop	2410309	What is the woman using while sitting on the couch?	tablet	book	phone	laptop	4	.\stimuli\2410309.jpg
1		PracticeProc	laptop	2410309	How many laptops or electronic devices are visible?	one	two	three	four	2	.\stimuli\2410309.jpg
